id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

ksc_pediatric_appointment_id_Doctor,ksc_pediatric_appointment_name,model_ksc_pediatric_appointment,ksc_pediatric_doctor,1,1,0,0
ksc_pediatric_appointment_id_Receptionist,ksc_pediatric_appointment_name,model_ksc_pediatric_appointment,ksc_pediatric_receptionist,1,1,1,1
ksc_pediatric_appointment_id_manager,ksc_pediatric_appointment_name,model_ksc_pediatric_appointment,ksc_pediatric_manager,1,1,1,1
ksc_pediatric_appointment_id_nurse,ksc_pediatric_appointment_name,model_ksc_pediatric_appointment,ksc_pediatric_nurse,1,1,0,0

ksc_radiology_appointment_pediatric_doctor_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_pediatric_doctor,1,0,1,0
ksc_radiology_appointment_pediatric_receptionist_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_pediatric_receptionist,1,0,1,0
ksc_radiology_appointment_pediatric_nurse_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_pediatric_nurse,1,0,1,0

access_hms_ksc_laboratory_request_lab_pediatric_doctor_id,patient lab Request doctor,ksc_laboratory.model_ksc_laboratory_request,ksc_pediatric_doctor,1,1,1,0
access_hms_ksc_laboratory_request_lab_pediatric_receptionist_id,patient lab Request receptionist,ksc_laboratory.model_ksc_laboratory_request,ksc_pediatric_receptionist,1,0,1,0
access_hms_ksc_laboratory_request_lab_pediatric_nurse_id,patient lab Request nurse,ksc_laboratory.model_ksc_laboratory_request,ksc_pediatric_nurse,1,0,1,0
access_hms_patient_laboratory_test_lab_pediatric_doctor,Laboratory Test doctor,ksc_laboratory.model_patient_laboratory_test,ksc_pediatric_doctor,1,0,0,0
access_hms_patient_laboratory_test_lab_pediatric_receptionist,Laboratory Test receptionist,ksc_laboratory.model_patient_laboratory_test,ksc_pediatric_receptionist,1,0,0,0

ksc_patient_evaluation_doctor_pediatric_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_pediatric_doctor,1,1,0,0
ksc_patient_evaluation_receptioniest_pediatric_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_pediatric_receptionist,1,0,0,0
ksc_patient_evaluation_nurse_pediatric_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_pediatric_nurse,1,1,1,0
ksc_patient_evaluation_manager_pediatric_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_pediatric_manager,0,1,0,1

ksc_diseases_line_id_pediatric_receptionist,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_pediatric_receptionist,1,0,0,0
ksc_diseases_line_id_pediatric_nurse,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_pediatric_nurse,1,0,0,0
ksc_diseases_line_id_ksc_pediatric_doctor,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_pediatric_doctor,1,1,1,1
ksc_diseases_line_id_ksc_pediatric_manager,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_pediatric_manager,1,1,1,1





ksc_diseases_line_id_dermatology_appointment_recept_ped1,ksc_diseases_line_name,ksc_dermatology.model_ksc_dermatology_appointment,ksc_pediatric_receptionist,1,0,0,0
ksc_diseases_line_id_ksc_physiotherapy_appointment_recept_ped2,ksc_diseases_line_name,ksc_physiotherapy.model_ksc_physiotherapy_appointment,ksc_pediatric_receptionist,1,0,0,0


ksc_diseases_line_id_dermatology_appointment_doct_ped1,ksc_diseases_line_name,ksc_dermatology.model_ksc_dermatology_appointment,ksc_pediatric_doctor,1,0,0,0
ksc_diseases_line_id_ksc_physiotherapy_appointment_doct_ped2,ksc_diseases_line_name,ksc_physiotherapy.model_ksc_physiotherapy_appointment,ksc_pediatric_doctor,1,0,0,0


ksc_diseases_line_id_dermatology_appointment_manag_ped1,ksc_diseases_line_name,ksc_dermatology.model_ksc_dermatology_appointment,ksc_pediatric_manager,1,0,0,0
ksc_diseases_line_id_ksc_physiotherapy_appointment_manag_ped2,ksc_diseases_line_name,ksc_physiotherapy.model_ksc_physiotherapy_appointment,ksc_pediatric_manager,1,0,0,0



ksc_pediatric_invoice_id_Doctor,ksc_pediatric_account_move,account.model_account_move,ksc_pediatric_doctor,1,0,0,0
ksc_pediatric_setting_id_Doctor,ksc_pediatric_settings_move,base.model_res_config_settings,ksc_pediatric_doctor,1,0,0,0

ksc_pediatric_invoice_id_nurse,ksc_pediatric_account_move,account.model_account_move,ksc_pediatric_nurse,1,0,0,0
ksc_pediatric_setting_id_nurse,ksc_pediatric_settings_move,base.model_res_config_settings,ksc_pediatric_nurse,1,0,0,0

ksc_pediatric_done_prec_nur,ksc_pediatric_done_prec,ksc_prescription_model.model_prescription_creation,ksc_pediatric_nurse,1,1,1,1
ksc_pediatric_done_prec_doc,ksc_pediatric_done_prec,ksc_prescription_model.model_prescription_creation,ksc_pediatric_doctor,1,1,1,1
ksc_pediatric_done_prec_mana,ksc_pediatric_done_prec,ksc_prescription_model.model_prescription_creation,ksc_pediatric_manager,1,1,1,1
ksc_pediatric_done_prec_recp,ksc_pediatric_done_prec,ksc_prescription_model.model_prescription_creation,ksc_pediatric_receptionist,1,1,1,1

ksc_diseases_id_pediatric_receptionist,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_pediatric_receptionist,1,0,0,0
ksc_diseases_id_pediatric_nurse,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_pediatric_nurse,1,0,0,0
ksc_diseases_id_ksc_pediatric_doctor,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_pediatric_doctor,1,1,1,1
ksc_diseases_id_ksc_pediatric_manager,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_pediatric_manager,1,1,1,1
