id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

ksc_urology_appointment_id_Doctor,ksc_urology_appointment_name,model_ksc_urology_appointment,ksc_urology_doctor,1,1,0,0
ksc_urology_appointment_id_Receptionist,ksc_urology_appointment_name,model_ksc_urology_appointment,ksc_urology_receptionist,1,1,1,1
ksc_urology_appointment_id_manager,ksc_urology_appointment_name,model_ksc_urology_appointment,ksc_urology_manager,1,1,1,1
ksc_urology_appointment_id_nurse,ksc_urology_appointment_name,model_ksc_urology_appointment,ksc_urology_nurse,1,1,0,0

ksc_radiology_appointment_urology_doctor_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_urology_doctor,1,0,1,0
ksc_radiology_appointment_urology_receptionist_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_urology_receptionist,1,0,1,0
ksc_radiology_appointment_urology_nurse_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_urology_nurse,1,0,1,0
ksc_radiology_appointment_urology_manager_id,ksc_radiology_appointment_name,ksc_radiology.model_ksc_radiology_appointment,ksc_urology_manager,1,0,1,0

access_hms_ksc_laboratory_request_lab_urology_doctor_id,patient lab Request doctor,ksc_laboratory.model_ksc_laboratory_request,ksc_urology_doctor,1,1,1,0
access_hms_ksc_laboratory_request_lab_urology_receptionist_id,patient lab Request receptionist,ksc_laboratory.model_ksc_laboratory_request,ksc_urology_receptionist,1,0,1,0
access_hms_ksc_laboratory_request_lab_urology_nurse_id,patient lab Request nurse,ksc_laboratory.model_ksc_laboratory_request,ksc_urology_nurse,1,0,1,0
access_hms_ksc_laboratory_request_lab_urology_manager_id,patient lab Request manager,ksc_laboratory.model_ksc_laboratory_request,ksc_urology_manager,1,0,1,0
access_hms_patient_laboratory_test_lab_urology_doctor,Laboratory Test doctor,ksc_laboratory.model_patient_laboratory_test,ksc_urology_doctor,1,0,0,0
access_hms_patient_laboratory_test_lab_urology_receptionist,Laboratory Test receptionist,ksc_laboratory.model_patient_laboratory_test,ksc_urology_receptionist,1,0,0,0
access_hms_patient_laboratory_test_lab_urology_manager,Laboratory Test manager,ksc_laboratory.model_patient_laboratory_test,ksc_urology_manager,1,0,0,0


ksc_patient_evaluation_doctor_urology_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_urology_doctor,1,1,0,0
ksc_patient_evaluation_receptioniest_urology_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_urology_receptionist,1,0,0,0
ksc_patient_evaluation_nurse_urology_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_urology_nurse,1,1,1,0
ksc_patient_evaluation_manager_urology_id,ksc_patient_evaluation_name,ksc_clinic_base.model_ksc_patient_evaluation,ksc_urology_manager,0,1,0,1

ksc_diseases_line_id_urology_receptionist,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_urology_receptionist,1,0,0,0
ksc_diseases_line_id_urology_nurse,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_urology_nurse,1,0,0,0
ksc_diseases_line_id_ksc_urology_doctor,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_urology_doctor,1,1,1,1
ksc_diseases_line_id_ksc_urology_manager,ksc_diseases_line_name,ksc_clinic_base.model_ksc_diseases_line,ksc_urology_manager,1,1,1,1


ksc_urology_invoice_id_Doctor,ksc_urology_account_move,account.model_account_move,ksc_urology_doctor,1,0,0,0
ksc_urology_setting_id_Doctor,ksc_urology_settings_move,base.model_res_config_settings,ksc_urology_doctor,1,0,0,0

ksc_urology_invoice_id_nurse,ksc_urology_account_move,account.model_account_move,ksc_urology_nurse,1,0,0,0
ksc_urology_setting_id_nurse,ksc_urology_settings_move,base.model_res_config_settings,ksc_urology_nurse,1,0,0,0


ksc_diseases_line_id_dermatology_appointment_recept_uro1,ksc_diseases_line_name,ksc_dermatology.model_ksc_dermatology_appointment,ksc_urology_receptionist,1,0,0,0
ksc_diseases_line_id_ksc_physiotherapy_appointment_recept_uro2,ksc_diseases_line_name,ksc_physiotherapy.model_ksc_physiotherapy_appointment,ksc_urology_receptionist,1,0,0,0


ksc_diseases_line_id_dermatology_appointment_doct_uro1,ksc_diseases_line_name,ksc_dermatology.model_ksc_dermatology_appointment,ksc_urology_doctor,1,0,0,0
ksc_diseases_line_id_ksc_physiotherapy_appointment_doct_uro2,ksc_diseases_line_name,ksc_physiotherapy.model_ksc_physiotherapy_appointment,ksc_urology_doctor,1,0,0,0


ksc_diseases_line_id_dermatology_appointment_manag_uro1,ksc_diseases_line_name,ksc_dermatology.model_ksc_dermatology_appointment,ksc_urology_manager,1,0,0,0
ksc_diseases_line_id_ksc_physiotherapy_appointment_manag_uro2,ksc_diseases_line_name,ksc_physiotherapy.model_ksc_physiotherapy_appointment,ksc_urology_manager,1,0,0,0

ksc_urology_done_prec_nur,ksc_urology_done_prec,ksc_prescription_model.model_prescription_creation,ksc_urology_nurse,1,1,1,1
ksc_urology_done_prec_doc,ksc_urology_done_prec,ksc_prescription_model.model_prescription_creation,ksc_urology_doctor,1,1,1,1
ksc_urology_done_prec_mana,ksc_urology_done_prec,ksc_prescription_model.model_prescription_creation,ksc_urology_manager,1,1,1,1
ksc_urology_done_prec_recp,ksc_urology_done_prec,ksc_prescription_model.model_prescription_creation,ksc_urology_receptionist,1,1,1,1


ksc_diseases_id_urology_receptionist,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_urology_receptionist,1,0,0,0
ksc_diseases_id_urology_nurse,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_urology_nurse,1,0,0,0
ksc_diseases_id_ksc_urology_doctor,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_urology_doctor,1,1,1,1
ksc_diseases_id_ksc_urology_manager,ksc_diseases_name,ksc_clinic_base.model_ksc_diseases,ksc_urology_manager,1,1,1,1
